Store Number,Store Name
2653,Hy-Vee Wine and Spirits / Washington
2655,Hy-Vee Food Store / Clarinda
2656,Hy-Vee Food Store / Corning
2657,Hy-Vee Food Store / Bedford
2658,Hy-Vee Food Store / Mount Ayr
2659,Hy-Vee Food Store / Corydon
2660,HY-VEE FOOD STORE / SIOUX CENTER
2661,Hy-Vee Food Store / Sheldon
2662,Hy-Vee Wine & Spirits / Muscatine
2663,Hy-Vee / Urbandale
2664,Hy-Vee C-Store / Charles City
2665,Hy-Vee / Waukee
2666,Hy-Vee #2 / Ankeny
2667,Hy-Vee Mainstreet
2668,Hy-Vee Food Store / Leon
2669,Hy-Vee / Corydon
2670,Hy-Vee Food Store / Coralville
2671,Hy-Vee  /  Jefferson
2672,Hy-Vee / Winterset
2806,Osco #881 / Clinton
2835,CVS Pharmacy #8538 / Cedar Falls
2836,CVS Pharmacy #8546 / Waterloo
2837,CVS Pharmacy #8544 / Waterloo
2838,CVS Pharmacy #8658 / Davenport
2839,CVS Pharmacy #8659 / Davenport
2840,CVS Pharmacy #8633 / Bettendorf
2841,CVS Pharmacy #8532 / Cedar Rapids
2843,CVS Pharmacy #8526 / Cedar Rapids
2844,CVS Pharmacy #8547 / Iowa City
2845,CVS Pharmacy #4816 / Council Bluffs
2846,CVS Pharmacy #8443 / Cedar Rapids
2847,CVS Pharmacy #10032 / Marion
2848,CVS Pharmacy #10114 / Ankeny
2849,CVS Pharmacy #10162 / Des Moines
2850,CVS / Pharmacy #10161 / Des Moines
2851,CVS / Pharmacy #10282 / Fort Dodge
2852,CVS Pharmacy #10329 / Merle Hay
2853,CVS Pharmacy #10452  /  Ames
2854,CVS / Pharmacy #10480 / Urbandale
2951,Dahl's / Hickman
2953,Dahl's / E. Euclid
2954,Dahl's / Ingersoll
2955,Dahl's / Beaver
2956,Dahl's / Fleur Dr
2958,Dahl's / E 33rd
2959,Dahl's / Merle Hay
2960,Dahl's / Wdm
2961,Dahl's / Ep True / Wdm
2962,Dahl's / Johnston
2963,Dahl's / Clive
2964,Dahl's / Ankeny
3003,Super Valu / Mark's
3013,Keith's Foods
3016,Super Valu / bender's
3041,Shugar's Super Valu / Colfax
3045,Britt Food Center
3054,Mcnally's Super Valu
3056,Clarion Super Valu Ii
3064,Shugar's Super Valu / Adel
3065,Montezuma Super Valu
3162,Nash Finch / Wholesale Food
3172,Nash Finch / econofoods #51
3352,Cork 'n' Bottle
3354,Sam's Club 8238 / Davenport
3385,Sam's Club 8162 / Cedar Rapids
3390,Okoboji Avenue Liquor
3393,The Hangout Liquors
3400,Last Stop Beverage Shop
3403,Econ-o-mart / Columbus Junction
3417,Big G Food Store
3420,Sam's Club 6344 / Windsor Heights
3437,Scott's Foods
3440,Hawkeye Pantry
3443,Super Saver Iv
3447,Sam's Club 6432 / Sioux City
3451,Barnes Foodland
3456,Quick Shop / Clear Lake
3461,Hometown Foods / Stuart
3465,Hometown Foods / Panora
3477,Sam's Club 6472 / Council Bluffs
3480,C's Spencer Liquor
3482,Kick The Can
3484,Jeff's Foods
3488,Bender's Foods
3492,Jubilee Foods / Rockwell City
3494,Sam's Club 6514 / Waterloo
3495,Great Pastimes
3514,Karen's Spirits and Wine
3521,Ameristar Casino / Council Bluffs
3524,Sam's Club 6568 / Ames
3525,Wines and Spirits
3528,Super Target T-0804 Mason City
3529,A To Z Liquor and Smoke Shop
3530,Primghar Liquor Store
3531,Osage Liquors
3534,A. V. Liquor
3536,Geno's Liquor
3540,Super Target T-0533 / Davenport
3542,Chuck's Sportsmans Beverage
3543,Pronto Market
3549,Quicker Liquor Store
3554,Dick's Beverage Depot
3562,Wal-Mart 0797 / W Burlington
3563,Wal-Mart 0559 / Muscatine
3565,Hartig Drug Store #10
3569,Katy Did General Store
3573,Quik Shop Foods / Four M In
3576,Liquor Store / Hartley
3582,Korthouse Liquor
3583,Mac's Liquor And Videos
3584,L and M Beverage
3587,Save A Lot  #482
3591,Ackley Super Foods
3592,Wal-Mart 0886 / Fort Dodge
3596,Laddy's Bar And Grill
3606,Scotty's Liquor Store
3611,Logan Super Foods
3612,B and C Liquor / Maquoketa
3614,Ida Grove Food Pride
3615,Emmetsburg Food Pride
3616,Laurens Food Pride
3618,Wal-Mart 2716 / Cedar Rapids
3621,"Jensen Liquors, Ltd."
3622,Wal-Mart 1415 / Spirit Lake
3624,Wal-Mart 0748 / Newton
3625,Wal-Mart 0892 / Ankeny
3626,Wal-Mart 2714 / Spencer
3628,Wal-Mart 1528 / Cedar Rapids
3629,Wal-Mart 1965 / Council Bluffs
3631,Audubon Food Pride
3632,Wal-Mart 2004 / Dubuque
3635,Clark's Food Mart / Ogden
3642,Fraise Foods / Sonny's Supermarket
3644,Wal-Mart 2764 / Altoona
3645,Wal-Mart 1764 / Windsor Heights
3647,Wal-Mart 2889 / Clinton
3648,Fairbank Food Center
3650,"Spirits, Stogies and Stuff"
3651,Wal-Mart 1491 / Indianola
3652,Discount Liquors Of Ida Grove
3654,The Beverage Shop / Belmond
3655,M and M Liquor Store
3656,Target Store T-1767 / Ankeny
3660,Wal-Mart 2935 / Knoxville
3663,Wal-Mart 1496 / Waterloo
3664,Shade Tree Liquors
3666,Target Store T-1771 / Cedar Rapids
3670,Wal-Mart 2827 / Coralville
3676,T and M Foods
3677,Barb's Service
3678,"Smoke Shop, The"
3679,FRANKLIN STREET FLORAL & GIFT
3682,Jumbo's
3688,Fredericksburg Food Center
3690,Target Store T-1792 / Waterloo
3691,Target Store T-1791 / Urbandale
3692,Wilkie Liquors
3695,Mrs. B's Liquor
3696,Wal-Mart 1723 / Des Moines
3697,Oky Doky #2 / Dubuque
3698,Ingersoll Wine Merchants
3700,Avoca Liquor
3704,Celtics Beverage Company
3705,Liquor Locker
3707,Target Store T-1768 / Cedar Rapids
3710,New York Dollar Store
3712,Monte Spirits
3713,Wal-Mart 0810 / Mason City
3715,Kimberly Mart / Davenport
3717,The Liquor Stop / Sumner
3719,Wal-Mart 0581 / Marshalltown
3721,Wal-Mart 0913 / Decorah
3722,Wal-Mart 1361 / Sioux City
3723,J D Spirits Liquor
3725,Armstrong Liquor Store
3726,Wal-Mart 1285 / Ottumwa
3728,Brewski's Beverage
3731,Wal-Mart 1241 / Davenport
3732,North Scott Foods
3734,"Shortee's Pit Stop, Inc."
3735,C B Liquor
3738,Hartig Drug Company #4 / Dubuque
3740,Hometown Foods / Waterloo
3742,Wal-Mart 1625 / Lemars
3744,Payless Foods / Dyersville
3747,T-N-T Liquor
3749,Wal-Mart 1526 / Storm Lake
3756,Main Street Liquors / Manning
3757,Wal-Mart 3590 / Sioux City
3760,Brady Mart / Davenport
3761,Cheese's Food Center
3762,Wine and Spirits Gallery
3763,Main Street Liquors / Hawarden
3766,Kolby's Liquor Store
3769,Wal-Mart 0753 / Cedar Fall
3772,Shop N Save #1 / Mlk Pkwy
3773,Benz Distributing
3774,Eagle Country Market / Dubuque
3776,Wal-Mart 5115 / Davenport
3778,Family Pantry
3779,"Station Wine and Spirits, T"
3782,Bender Foods / Guttenburg
3783,Dyno's Wine and Spirits / Pocahontas
3784,Hartig Drug #14 / Independence
3785,Southside Tobacco and Liquor
3789,Wal-Mart 1393 / Oskaloosa
3790,Wal-Mart 0784 / Mt Pleasan
3791,Pit Stop Liquor and Tobacco
3797,The Liquor Store / Davenport
3798,Old Calliope Liquor
3803,Strawberry Foods and Deli
3805,Washington Street Mini Mart
3806,Target Store T-1901 / WDM
3808,Thriftway
3811,Wal-Mart 1431 / Keokuk
3812,Oasis Liquor / Storm Lake
3813,CGI Foods
3814,Costco Wholesale #788
3816,Swils
3818,Round Window Liquor
3819,Quillins Decorah
3820,"Charlie's Wine and Spirits,"
3822,The Secret Cellar
3825,Shop N Save #2 / E 14th
3826,Terribles Lakeside Casino
3829,Gary's Foods / Mt Vernon
3830,Wal-Mart 1435 / Creston
3831,The Market Of Madrid
3832,Direct Liquor / Alvord
3833,Wal-Mart 3394 / Atlantic
3838,Schnucks / Bettendorf
3841,Hartig Drug Company #2 / Locust
3842,Bancroft Liquor Store
3845,Otho Convenience and Food
3847,Logan Ave Convenience Store
3849,Hartig Drug Co #6 / Dyersville
3852,Clark Of Cedar Rapids
3853,Ram Liquor Mart
3855,Dyno's Wine and Spirits / Storm Lake
3857,Quillins Food Ranch / Waukon
3858,Harolds Jack N Jill / Davenport
3859,Wal-Mart 0750 / Independence
3864,Hometown Foods / Schaller
3866,Target Store T-1170 / Ames
3868,Wal-Mart 3630 / Marion
3869,Bootleggin' Barzini's Fin
3870,Target Store T-1939 / Altoona
3871,Target Store T-0069 / WDM
3872,Target Store T-0086 / Dubuque
3873,Target Store T-1113 / Coralville
3876,Affiliated Foods Of Manson
3877,Target Store T-2041 / Des Moines
3878,Liquor and Tobacco Outlet /
3879,Target Store T-1800 / Sioux City
3880,Target Store T-2454 / Council Bluffs
3881,7 Rayos Liquor Store
3882,Kwik Shop #579 / Davenport
3885,Buchanan County Liquor Store
3886,Wal-Mart 0646 / Anamosa
3888,Wal-Mart 0647 / Grinnell
3889,Wal-Mart 1005 / Waverly
3890,Smokin' Joe's #7 Tobacco and Liquor Outlet
3891,"Wild Rose Emmetsburg, Llc"
3894,Smokin' Joe's #6 Tobacco and Liquor
3895,Tom's Market and Meats
3896,Smokin' Joe's #18 Tobacco and Liquor Outlet
3899,Wal-Mart 3762 / WDM
3901,Target Store T-0878 / Fort Dodge
3906,Cigarette Outlet #17 / Burlington
3907,Smokin' Joe's #16 Tobacco and Liquor Outlet
3908,County Market #214 / Fort Madison
3909,D And S Grocery
3910,Riverside Casino And Resort
3911,"Burg Spirits, Llc."
3912,Smokin' Joe's #14 Tobacco and Liquor Outlet
3915,Sac City Food Pride
3916,Smokin' Joe's #5 Tobacco and Liquor Outlet
3917,Smokin' Joe's #2 Tobacco and Liquor Outlet
3918,Smokin' Joe's #1 Tobacco and Liquor Outlet
3920,Smokin' Joe's #11 Tobacco and Liquor Outlet
3925,Johncy's Liquor Store Inc
3926,Liquor Downtown / Iowa City
3928,Smokin' Joe's #12 Tobacco and Liquor Outlet
3929,Liquor And Tobacco Outlet
3930,Kuennen's Liquor Store
3932,Main Street Spirits / Mapleton
3934,Wal-Mart 1509 / Maquoketa
3942,Twin Town Liquor
3943,Good and Quick Co
3944,Sam's Club 4973 / Dubuque
3947,Seaton's Flag Foods
3949,Wal-Mart 0751 / Pella
3950,Hometown Foods / State Center
3952,Lot-A-Spirits
3957,Karl's Grocery Store
3959,Hartig Drug Company #8 / University / Dubuque
3962,Durant Street Country Stop
3963,Tobacco Hut #14 / Council Bluffs
3964,Sioux Food Center of Sioux Rapids
3968,Monroe Liquor
3969,"R 'n D's Liquor, Llc"
3970,"The Liquor Cabinet, Inc."
3972,Hometown Foods / Hubbard
3973,Mmdg Spirits / Ames
3976,North English Family Food
3980,Wal-Mart 1721 / Iowa City
3981,Wal-Mart 1152 / Sioux Center
3986,Siouxland Beverage
3987,Wine and Spirits Shoppe Of
3989,Liquor On The Corner / Cherokee
3990,Cork and Bottle / Oskaloosa
3993,New Star Liquor / W 4th S / Waterloo
3994,Great Spirits Wine & Liquor Co.
3995,Barmuda Distribution
3997,Wal-Mart 4606 / Osceola
4000,Foodland Super Markets / Woodbine
4001,Wal-Mart 1787 / Carroll
4004,Wal-Mart 4256 / Ames
4005,Lansing Liquor and More
4006,Larchwood Offsale
4007,Brockmans
4008,Sioux Valley Spirits
4010,Newman's Thriftway
4011,Jim and Charlies Affiliated
4012,Fast Mart
4013,Wal-Mart 0841 / Tipton
4014,Wal-Mart 1732 / Denison
4015,Wal-Mart 0749 / Ames
4016,Hometown Foods / Conrad
4018,Hometown Foods / Gladbrook
4019,Wal-Mart 1506 / Manchester
4021,Wal-Mart 0985 / Fairfield
4023,Wal-Mart 1389 / Boone
4024,Wal-Mart 1546 / Iowa Falls
4025,Karam Kaur Khasriya Llc
4026,Marshall Discount Liquor
4027,Wal-Mart 1621 / Centerville
4029,The Store
4030,Buy Rite Foods
4033,"Mcgregor's Top Shelf, Llc"
4034,Spice-n-ice
4035,B and B West
4036,Five Star Snacks and More
4038,No Frills Supermarkets / Denison
4039,No Frills Supermarkets / Council Blu
4040,No Frills Supermarkets / Council Blu
4041,Mandm Pantry
4042,Lake Ohana Market / Mineola
