City,Population
Jefferson,4204
Jesup,2671
Jewell Junction,1187
Johnston,20871
Joice,223
Jolley,27
Kalona,2509
Kamrar,198
Kanawha,627
Kellerton,312
Kelley,309
Kellogg,592
Kensett,267
Keokuk,10609
Keomah Village,83
Keosauqua,947
Keota,970
Keswick,240
Keystone,609
Kimballton,301
Kingsley,1396
Kinross,71
Kirkman,62
Kirkville,175
Kiron,277
Klemme,484
Knierim,60
Knoxville,7248
La Motte,253
La Porte City,2290
Lacona,363
Ladora,283
Lake City,1670
Lake Mills,2060
Lake Park,1137
Lake View,1125
Lakeside,700
Lakota,287
Lambs Grove,171
Lamoni,2376
Lamont,457
Lanesboro,116
Lansing,939
Larchwood,886
Larrabee,133
Latimer,483
Laurel,242
Laurens,1180
Lawler,423
Lawton,960
Le Claire,3982
Le Grand,946
Le Mars,9761
Le Roy,14
Ledyard,127
Lehigh,399
Leighton,161
Leland,285
Lenox,1385
Leon,1903
Lester,294
Letts,377
Lewis,416
Libertyville,333
Lidderdale,176
Lime Springs,490
Lincoln,157
Linden,210
Lineville,219
Linn Grove,154
Lisbon,2202
Liscomb,304
Little Rock,441
Little Sioux,162
Livermore,366
Lockridge,283
Logan,1465
Lohrville,350
Lone Rock,142
Lone Tree,1415
Long Grove,844
Lorimor,349
Lost Nation,424
Lovilia,519
Low Moor,279
Lowden,770
Lu Verne,255
Luana,276
Lucas,213
Luther,123
Luxemburg,252
Luzerne,94
Lynnville,390
Lytton,301
Macedonia,245
Macksburg,111
Madrid,2588
Magnolia,174
Maharishi Vedic City,1299
Malcom,278
Mallard,267
Maloy,29
Malvern,1117
Manchester,5073
Manilla,775
Manly,1310
Manning,1472
Manson,1615
Mapleton,1214
Maquoketa,5989
Marathon,239
Marble Rock,301
Marcus,1070
Marengo,2513
Marion,37330
Marne,116
Marquette,451
Marshalltown,27620
Martelle,254
Martensdale,472
Martinsburg,110
Marysville,66
Mason City,27366
Masonville,124
Massena,348
Matlock,88
Maurice,280
Maxwell,923
Maynard,499
Maysville,180
McCallsburg,335
McCausland,314
McClelland,151
McGregor,839
McIntire,121
Mechanicsville,1108
Mediapolis,1574
Melbourne,827
Melcher-Dallas,1259
Melrose,110
Melvin,206
Menlo,343
Meriden,150
Merrill,733
Meservey,248
Middletown,338
Miles,439
Milford,3018
Millersburg,159
Millerton,45
Milo,772
Milton,413
Minburn,384
Minden,594
Mingo,301
Missouri Valley,2695
Mitchell,137
Mitchellville,2304
Modale,262
Mondamin,374
Monmouth,151
Monona,1500
Monroe,1831
Montezuma,1411
Monticello,3825
Montour,247
Montrose,885
Moorhead,218
Moorland,164
Moravia,643
Morley,114
Morning Sun,821
Morrison,93
Moulton,585
Mount Auburn,148
Mount Ayr,1686
Mount Union,107
Moville,1634
Mt Pleasant,8433
Mt Vernon,4486
Murray,735
Muscatine,23968
Mystic,411
Nashua,1621
Nemaha,83
Neola,862
Nevada,6831
New Albin,496
New Hampton,3452
New Hartford,508
New Liberty,142
New London,1882
New Market,408
New Providence,227
New Sharon,1291
New Vienna,424
New Virginia,485
Newell,871
Newhall,850
Newton,15125
Nichols,372
Nodaway,108
Nora Springs,1389
North Buena Vista,113
North English,1022
North Liberty,15931
North Washington,115
Northboro,57
Northwood,1995
Norwalk,10135
Norway,526
Numa,90
Oakland,1507
Oakland Acres,155
Oakville,170
Ocheyedan,466
Odebolt,978
Oelwein,6153
Ogden,2041
Okoboji,818
Olds,234
Olin,688
Ollie,210
Onawa,2881
Onslow,196
Orange City,6198
Orchard,70
Orient,379
Orleans,614
Osage,3654
Osceola,4972
Oskaloosa,11607
Ossian,819
Osterdock,57
Otho,524
Oto,108
Ottosen,37
Ottumwa,24624
Owasa,43
Oxford,825
Oxford Junction,484
Oyens,101
Pacific Junction,457
Packwood,215
Palmer,160
Palo,1053
Panama,218
Panora,1085
Panorama Park,144
Parkersburg,1960
Parnell,220
Paton,229
Patterson,161
Paullina,1017
Pella,10363
Peosta,1618
Perry,8089
Persia,299
Peterson,318
Pierson,357
Pilot Mound,175
Pioneer,22
Pisgah,239
Plainfield,425
Plano,69
Pleasant Hill,9314
Pleasant Plain,98
Pleasanton,46
Pleasantville,1669
Plover,74
Plymouth,373
Pocahontas,1740
Polk City,4323
Pomeroy,625
Popejoy,77
Portsmouth,190
Postville,2131
Prairie City,1709
Prairieburg,179
Prescott,246
Preston,978
Primghar,879
Princeton,929
Promise City,112
Protivin,279
Pulaski,275
Quasqueton,547
Quimby,303
Radcliffe,538
Rake,221
Ralston,75
Randalia,66
Randall,169
Randolph,155
Rathbun,87
Raymond,816
Readlyn,826
Reasnor,153
Red Oak,5472
Redding,81
Redfield,873
Reinbeck,1639
Rembrandt,204
Remsen,1632
Renwick,235
Rhodes,308
Riceville,810
Richland,562
Rickardsville,181
Ricketts,142
Ridgeway,309
Rinard,52
Ringsted,392
Rippey,283
Riverdale,413
Riverside,1045
Riverton,282
Robins,3454
Rock Falls,152
Rock Rapids,2602
Rock Valley,3693
Rockford,844
Rockwell,1019
Rockwell City,2141
Rodman,44
Rodney,58
Roland,1304
Rolfe,559
Rome,117
Rose Hill,167
Rossie,71
Rowan,155
Rowley,267
Royal,427
Rudd,361
Runnells,516
Russell,537
Ruthven,704
Rutland,126
Ryan,362
Sabula,552
Sac City,2144
Sageville,103
Salem,376
Salix,380
Sanborn,1385
Sandyville,51
Scarville,71
Schaller,745
Schleswig,881
Scranton,530
Searsboro,143
Sergeant Bluff,4520
Seymour,696
Shambaugh,186
Shannon City,70
Sharpsburg,88
Sheffield,1140
Shelby,618
Sheldahl,320
Sheldon,5088
Shell Rock,1323
Shellsburg,951
Shenandoah,5021
Sherrill,176
Shueyville,672
Sibley,2668
Sidney,1044
Sigourney,2005
Silver City,243
Sioux Center,7461
Sioux City,82821
Sioux Rapids,777
Slater,1506
Sloan,979
Smithland,225
Soldier,168
Solon,2545
Somers,109
South English,207
Spencer,11212
Spillville,355
Spirit Lake,5018
Spragueville,81
Spring Hill,63
Springbrook,140
Springville,1139
St Ansgar,1156
St Charles,628
St Lucas,138
St. Anthony,103
St. Donatus,131
St. Marys,128
St. Olaf,106
St. Paul,130
Stacyville,473
Stanhope,412
Stanley,125
Stanton,639
Stanwood,662
State Center,1470
Steamboat Rock,309
Stockport,293
Stockton,197
Storm Lake,10910
Story City,3438
Stout,223
Stratford,725
Strawberry Point,1236
Struble,77
Stuart,1602
Sully,822
Sumner,2009
Superior,129
Sutherland,618
Swaledale,160
Swan,72
Swea City,521
Swisher,943
Tabor,979
Tama,2819
Templeton,348
Tennant,66
Terril,364
Thayer,56
Thompson,487
Thor,181
Thornburg,61
Thornton,408
Thurman,214
Tiffin,2657
Tingley,182
Tipton,3200
Titonka,452
Toledo,2202
Toronto,120
Traer,1655
Treynor,952
Tripoli,1342
Truesdale,81
Truro,483
Turin,66
Udell,46
Underwood,940
Union,386
Unionville,100
University Heights,1119
University Park,477
Urbana,1459
Urbandale,44062
Ute,353
Vail,424
Valeria,57
Van Horne,664
Van Meter,1142
Van Wert,215
Varina,69
Ventura,718
Victor,888
Villisca,1194
Vincent,169
Vining,49
